Time,CC1-1b,Com Lab (lv 1),S. Classroom,CC1-2b,CC2-3,TT2-1,TT2-3,TT2-4,TT2-5,TT3-1,TT3-2,TT3-5
09:00,0,1,1,1,1,1,1,1,1,1,1,1
09:30,0,1,1,1,1,1,1,1,1,1,1,1
10:00,0,0,1,1,1,1,1,1,1,1,1,1
10:30,0,0,1,1,1,1,1,1,1,1,1,1
11:00,1,0,1,1,1,1,1,0,1,1,1,1
11:30,0,0,1,1,1,1,1,0,1,1,1,1
12:00,0,1,1,0,1,1,1,0,1,1,0,1
12:30,0,1,1,0,1,1,1,0,1,1,0,1
13:00,0,1,1,0,1,1,1,1,1,1,0,1
13:30,1,1,1,0,1,1,1,1,1,1,1,1
14:00,0,1,1,1,1,1,1,1,1,1,1,1
14:30,0,0,1,1,0,1,1,1,1,1,1,1
15:00,0,0,1,1,0,1,1,1,1,1,1,1
15:30,1,0,1,1,0,1,1,1,1,1,1,1
16:00,1,1,0,1,0,1,1,1,1,0,0,1
16:30,1,1,0,1,0,1,1,1,1,0,0,1
17:00,1,1,0,1,1,1,1,1,1,1,0,1
17:30,1,1,1,1,1,1,1,1,1,1,1,1
18:00,1,1,1,0,1,1,1,1,1,1,1,1
18:30,1,1,1,0,1,1,1,1,1,1,1,1
